Agent,env_n,explored_states,success
BFS,1,322,True
DFS,1,2162,True
UCS,1,284,True
LDFS,1,2162,True
BFS,2,7179,True
DFS,2,2472,True
UCS,2,7109,True
LDFS,2,2472,True
BFS,3,3515,True
DFS,3,6110,True
UCS,3,3491,True
LDFS,3,6110,True
BFS,4,7695,True
DFS,4,2121,True
UCS,4,7587,True
LDFS,4,2121,True
BFS,5,1087,True
DFS,5,3613,True
UCS,5,991,True
LDFS,5,3613,True
BFS,6,3783,True
DFS,6,2947,True
UCS,6,3633,True
LDFS,6,2947,True
BFS,7,6575,True
DFS,7,3258,True
UCS,7,6503,True
LDFS,7,3258,True
BFS,8,4327,True
DFS,8,6492,True
UCS,8,4238,True
LDFS,8,6492,True
BFS,9,6839,True
DFS,9,6777,True
UCS,9,6799,True
LDFS,9,6777,True
BFS,10,3864,True
DFS,10,2842,True
UCS,10,3743,True
LDFS,10,2842,True
BFS,11,7904,True
DFS,11,2012,True
UCS,11,7797,True
LDFS,11,2012,True
BFS,12,4955,True
DFS,12,743,True
UCS,12,4773,True
LDFS,12,743,True
BFS,13,3454,True
DFS,13,935,True
UCS,13,3254,True
LDFS,13,935,True
BFS,14,507,True
DFS,14,5535,True
UCS,14,480,True
LDFS,14,5535,True
BFS,15,1118,True
DFS,15,4779,True
UCS,15,1020,True
LDFS,15,4779,True
BFS,16,4448,True
DFS,16,4781,True
UCS,16,4401,True
LDFS,16,4781,True
BFS,17,4156,True
DFS,17,1828,True
UCS,17,4045,True
LDFS,17,1828,True
BFS,18,4894,True
DFS,18,2827,True
UCS,18,4711,True
LDFS,18,2827,True
BFS,19,866,True
DFS,19,257,True
UCS,19,764,True
LDFS,19,257,True
BFS,20,4849,True
DFS,20,5396,True
UCS,20,4778,True
LDFS,20,5396,True
BFS,21,8797,True
DFS,21,864,True
UCS,21,8770,True
LDFS,21,864,True
BFS,22,7815,True
DFS,22,5598,True
UCS,22,7750,True
LDFS,22,5598,True
BFS,23,2662,True
DFS,23,3455,True
UCS,23,2577,True
LDFS,23,3455,True
BFS,24,1698,True
DFS,24,3041,True
UCS,24,1676,True
LDFS,24,3041,True
BFS,25,7399,True
DFS,25,5728,True
UCS,25,7352,True
LDFS,25,5728,True
BFS,26,7774,True
DFS,26,5179,True
UCS,26,7720,True
LDFS,26,5179,True
BFS,27,7925,True
DFS,27,7285,True
UCS,27,7905,True
LDFS,27,7298,True
BFS,28,8401,True
DFS,28,2514,True
UCS,28,8363,True
LDFS,28,2514,True
BFS,29,1782,True
DFS,29,535,True
UCS,29,1593,True
LDFS,29,535,True
BFS,30,7204,True
DFS,30,8873,True
UCS,30,7082,True
LDFS,30,8742,True
