Agent,env_n,explored_states,success
BFS,1,7893,True
DFS,1,6769,True
UCS,1,7863,True
LDFS,1,6769,True
A*,1,285,True
BFS,2,194,True
DFS,2,9001,True
UCS,2,176,True
LDFS,2,8999,True
A*,2,26,True
BFS,3,4600,True
DFS,3,2394,True
UCS,3,4444,True
LDFS,3,2394,True
A*,3,134,True
BFS,4,2704,True
DFS,4,8616,True
UCS,4,2664,True
LDFS,4,8613,True
A*,4,118,True
BFS,5,5839,True
DFS,5,759,True
UCS,5,5748,True
LDFS,5,759,True
A*,5,166,True
BFS,6,6954,True
DFS,6,8232,True
UCS,6,6917,True
LDFS,6,8209,True
A*,6,197,True
BFS,7,7767,True
DFS,7,6348,True
UCS,7,7714,True
LDFS,7,6348,True
A*,7,256,True
BFS,8,6677,True
DFS,8,5354,True
UCS,8,6584,True
LDFS,8,5354,True
A*,8,189,True
BFS,9,2781,True
DFS,9,4028,True
UCS,9,2729,True
LDFS,9,4028,True
A*,9,140,True
BFS,10,2267,True
DFS,10,799,True
UCS,10,2163,True
LDFS,10,799,True
A*,10,89,True
BFS,11,5752,True
DFS,11,3825,True
UCS,11,5683,True
LDFS,11,3825,True
A*,11,198,True
BFS,12,6164,True
DFS,12,4432,True
UCS,12,6074,True
LDFS,12,4432,True
A*,12,201,True
BFS,13,7988,True
DFS,13,1822,True
UCS,13,7941,True
LDFS,13,1822,True
A*,13,305,True
BFS,14,1353,True
DFS,14,46,True
UCS,14,1257,True
LDFS,14,46,True
A*,14,120,True
BFS,15,5945,True
DFS,15,5382,True
UCS,15,5816,True
LDFS,15,5382,True
A*,15,175,True
BFS,16,2926,True
DFS,16,1247,True
UCS,16,2778,True
LDFS,16,1247,True
A*,16,99,True
BFS,17,3265,True
DFS,17,2718,True
UCS,17,3066,True
LDFS,17,2718,True
A*,17,116,True
BFS,18,7274,True
DFS,18,2527,True
UCS,18,7160,True
LDFS,18,2527,True
A*,18,229,True
BFS,19,208,True
DFS,19,4774,True
UCS,19,186,True
LDFS,19,4774,True
A*,19,26,True
BFS,20,3884,True
DFS,20,5252,True
UCS,20,3829,True
LDFS,20,5252,True
A*,20,142,True
BFS,21,8534,True
DFS,21,7215,True
UCS,21,8487,True
LDFS,21,7603,True
A*,21,216,True
BFS,22,5478,True
DFS,22,5694,True
UCS,22,5429,True
LDFS,22,5694,True
A*,22,171,True
BFS,23,7918,True
DFS,23,1125,True
UCS,23,7823,True
LDFS,23,1125,True
A*,23,294,True
BFS,24,3612,True
DFS,24,7747,True
UCS,24,3585,True
LDFS,24,7261,True
A*,24,192,True
BFS,25,4519,True
DFS,25,7760,True
UCS,25,4507,True
LDFS,25,7490,True
A*,25,129,True
BFS,26,8125,True
DFS,26,1660,True
UCS,26,8064,True
LDFS,26,1660,True
A*,26,228,True
BFS,27,7104,True
DFS,27,8913,True
UCS,27,6974,True
LDFS,27,8853,True
A*,27,221,True
BFS,28,7951,True
DFS,28,6778,True
UCS,28,7915,True
LDFS,28,6691,True
A*,28,259,True
BFS,29,5559,True
DFS,29,2248,True
UCS,29,5360,True
LDFS,29,2248,True
A*,29,137,True
BFS,30,6151,True
DFS,30,7829,True
UCS,30,6120,True
LDFS,30,7286,True
A*,30,214,True
