Algorithm,Board_n,Board size,Execution Time (s),Number of conflicts,Number of iterations
Hill Climbing,1,4,0.00883936882019043,0,451
Simulated Annealing,1,4,0.008637189865112305,0,440
Genetic Algorithm,1,4,0.01653122901916504,0,31
Hill Climbing,2,4,0.0007946491241455078,0,42
Simulated Annealing,2,4,0.001171112060546875,0,63
Genetic Algorithm,2,4,0.004837989807128906,0,9
Hill Climbing,3,4,0.002797365188598633,0,162
Simulated Annealing,3,4,0.0006887912750244141,0,38
Genetic Algorithm,3,4,0.00020933151245117188,0,0
Hill Climbing,4,4,0.0040781497955322266,0,233
Simulated Annealing,4,4,0.004552602767944336,0,230
Genetic Algorithm,4,4,0.0007598400115966797,0,1
Hill Climbing,5,4,0.0001220703125,0,7
Simulated Annealing,5,4,0.0021376609802246094,0,116
Genetic Algorithm,5,4,0.0002086162567138672,0,0
Hill Climbing,6,4,0.006643772125244141,0,376
Simulated Annealing,6,4,0.0004222393035888672,0,23
Genetic Algorithm,6,4,0.002263784408569336,0,4
Hill Climbing,7,4,0.0025675296783447266,0,145
Simulated Annealing,7,4,0.0010008811950683594,0,54
Genetic Algorithm,7,4,0.0016624927520751953,0,3
Hill Climbing,8,4,0.0009038448333740234,0,53
Simulated Annealing,8,4,0.0004515647888183594,0,24
Genetic Algorithm,8,4,0.0027627944946289062,0,3
Hill Climbing,9,4,0.0019829273223876953,0,108
Simulated Annealing,9,4,0.0011386871337890625,0,55
Genetic Algorithm,9,4,0.0025718212127685547,0,3
Hill Climbing,10,4,0.00015878677368164062,0,9
Simulated Annealing,10,4,0.013721704483032227,0,678
Genetic Algorithm,10,4,0.0008275508880615234,0,1
Hill Climbing,11,4,7.05718994140625e-05,0,4
Simulated Annealing,11,4,0.004073381423950195,0,208
Genetic Algorithm,11,4,0.02410602569580078,0,45
Hill Climbing,12,4,0.00023555755615234375,0,12
Simulated Annealing,12,4,0.004634857177734375,0,245
Genetic Algorithm,12,4,0.0018534660339355469,0,3
Hill Climbing,13,4,0.00012135505676269531,0,7
Simulated Annealing,13,4,0.003473997116088867,0,188
Genetic Algorithm,13,4,0.0012547969818115234,0,2
Hill Climbing,14,4,0.0016124248504638672,0,94
Simulated Annealing,14,4,0.004544973373413086,0,234
Genetic Algorithm,14,4,0.00022077560424804688,0,0
Hill Climbing,15,4,0.0004000663757324219,0,21
Simulated Annealing,15,4,0.00189971923828125,0,100
Genetic Algorithm,15,4,0.0028429031372070312,0,5
Hill Climbing,16,4,0.001989126205444336,0,115
Simulated Annealing,16,4,0.0012187957763671875,0,64
Genetic Algorithm,16,4,0.006776571273803711,0,13
Hill Climbing,17,4,0.0008358955383300781,0,42
Simulated Annealing,17,4,0.0002903938293457031,0,14
Genetic Algorithm,17,4,0.0007371902465820312,0,1
Hill Climbing,18,4,0.0002562999725341797,0,15
Simulated Annealing,18,4,0.0030944347381591797,0,164
Genetic Algorithm,18,4,0.00020623207092285156,0,0
Hill Climbing,19,4,0.0006649494171142578,0,38
Simulated Annealing,19,4,0.0006330013275146484,0,35
Genetic Algorithm,19,4,0.0007162094116210938,0,1
Hill Climbing,20,4,0.000324249267578125,0,19
Simulated Annealing,20,4,0.004695415496826172,0,235
Genetic Algorithm,20,4,0.0002071857452392578,0,0
Hill Climbing,21,4,0.00821375846862793,0,472
Simulated Annealing,21,4,0.004843235015869141,0,262
Genetic Algorithm,21,4,0.000209808349609375,0,0
Hill Climbing,22,4,0.002501249313354492,0,145
Simulated Annealing,22,4,0.0011827945709228516,0,62
Genetic Algorithm,22,4,0.004383563995361328,0,8
Hill Climbing,23,4,0.003627777099609375,0,208
Simulated Annealing,23,4,0.0003466606140136719,0,19
Genetic Algorithm,23,4,0.0038950443267822266,0,4
Hill Climbing,24,4,0.00011086463928222656,0,6
Simulated Annealing,24,4,0.0035085678100585938,0,144
Genetic Algorithm,24,4,0.0011479854583740234,0,1
Hill Climbing,25,4,0.004732847213745117,0,200
Simulated Annealing,25,4,0.0032808780670166016,0,145
Genetic Algorithm,25,4,0.0008554458618164062,0,1
Hill Climbing,26,4,0.00042438507080078125,0,14
Simulated Annealing,26,4,0.0002932548522949219,0,14
Genetic Algorithm,26,4,0.005192995071411133,0,8
Hill Climbing,27,4,0.0018749237060546875,0,89
Simulated Annealing,27,4,0.0005612373352050781,0,25
Genetic Algorithm,27,4,0.006821870803833008,0,9
Hill Climbing,28,4,0.00024008750915527344,0,13
Simulated Annealing,28,4,0.002339601516723633,0,105
Genetic Algorithm,28,4,0.0009846687316894531,0,1
Hill Climbing,29,4,0.002185821533203125,0,110
Simulated Annealing,29,4,5.459785461425781e-05,0,2
Genetic Algorithm,29,4,0.0003235340118408203,0,0
Hill Climbing,30,4,0.0006687641143798828,0,31
Simulated Annealing,30,4,0.002786874771118164,0,111
Genetic Algorithm,30,4,0.02709221839904785,0,33
Hill Climbing,1,8,0.22871947288513184,2,5000
Simulated Annealing,1,8,0.18886065483093262,2,5000
Genetic Algorithm,1,8,2.866204023361206,0,3944
Hill Climbing,2,8,0.17993807792663574,2,5000
Simulated Annealing,2,8,0.1891803741455078,2,5000
Genetic Algorithm,2,8,0.029244184494018555,0,38
Hill Climbing,3,8,0.17733073234558105,2,5000
Simulated Annealing,3,8,0.1861572265625,2,5000
Genetic Algorithm,3,8,0.012260198593139648,0,16
Hill Climbing,4,8,0.1802046298980713,2,5000
Simulated Annealing,4,8,0.18602466583251953,1,5000
Genetic Algorithm,4,8,1.6497645378112793,0,2272
Hill Climbing,5,8,0.1784205436706543,2,5000
Simulated Annealing,5,8,0.1877729892730713,1,5000
Genetic Algorithm,5,8,0.6197240352630615,0,857
Hill Climbing,6,8,0.17919421195983887,1,5000
Simulated Annealing,6,8,0.18962907791137695,2,5000
Genetic Algorithm,6,8,0.9445986747741699,0,1300
Hill Climbing,7,8,0.17656922340393066,2,5000
Simulated Annealing,7,8,0.19042587280273438,2,5000
Genetic Algorithm,7,8,2.0180368423461914,0,2769
Hill Climbing,8,8,0.17533588409423828,1,5000
Simulated Annealing,8,8,0.20330238342285156,1,5000
Genetic Algorithm,8,8,0.015350103378295898,0,21
Hill Climbing,9,8,0.18194317817687988,2,5000
Simulated Annealing,9,8,0.19066739082336426,2,5000
Genetic Algorithm,9,8,1.2561848163604736,0,1717
Hill Climbing,10,8,0.18186712265014648,2,5000
Simulated Annealing,10,8,0.19057750701904297,2,5000
Genetic Algorithm,10,8,0.752068042755127,0,1022
Hill Climbing,11,8,0.18091964721679688,2,5000
Simulated Annealing,11,8,0.19159245491027832,1,5000
Genetic Algorithm,11,8,0.08188414573669434,0,113
Hill Climbing,12,8,0.18021941184997559,1,5000
Simulated Annealing,12,8,0.19275236129760742,1,5000
Genetic Algorithm,12,8,3.6698358058929443,1,5000
Hill Climbing,13,8,0.17999029159545898,1,5000
Simulated Annealing,13,8,0.14330220222473145,0,3611
Genetic Algorithm,13,8,2.14864182472229,0,2947
Hill Climbing,14,8,0.178938627243042,1,5000
Simulated Annealing,14,8,0.09691667556762695,0,2466
Genetic Algorithm,14,8,0.1768968105316162,0,238
Hill Climbing,15,8,0.18216371536254883,1,5000
Simulated Annealing,15,8,0.19259381294250488,2,5000
Genetic Algorithm,15,8,3.6741673946380615,1,5000
Hill Climbing,16,8,0.18231916427612305,2,5000
Simulated Annealing,16,8,0.1947798728942871,1,5000
Genetic Algorithm,16,8,0.16021323204040527,0,223
Hill Climbing,17,8,0.17977452278137207,1,5000
Simulated Annealing,17,8,0.02105569839477539,0,571
Genetic Algorithm,17,8,3.6391031742095947,1,5000
Hill Climbing,18,8,0.17879509925842285,1,5000
Simulated Annealing,18,8,0.19057369232177734,2,5000
Genetic Algorithm,18,8,3.681623697280884,1,5000
Hill Climbing,19,8,0.1786184310913086,2,5000
Simulated Annealing,19,8,0.19062209129333496,2,5000
Genetic Algorithm,19,8,3.6437041759490967,1,5000
Hill Climbing,20,8,0.1801450252532959,1,5000
Simulated Annealing,20,8,0.19588613510131836,1,5000
Genetic Algorithm,20,8,0.4945542812347412,0,666
Hill Climbing,21,8,0.18056082725524902,2,5000
Simulated Annealing,21,8,0.19034934043884277,2,5000
Genetic Algorithm,21,8,1.325174331665039,0,1824
Hill Climbing,22,8,0.18027043342590332,2,5000
Simulated Annealing,22,8,0.19321084022521973,1,5000
Genetic Algorithm,22,8,3.6786532402038574,1,5000
Hill Climbing,23,8,0.18312978744506836,1,5000
Simulated Annealing,23,8,0.1981189250946045,2,5000
Genetic Algorithm,23,8,0.4524354934692383,0,623
Hill Climbing,24,8,0.1821284294128418,2,5000
Simulated Annealing,24,8,0.18881869316101074,1,5000
Genetic Algorithm,24,8,3.6889796257019043,1,5000
Hill Climbing,25,8,0.18167877197265625,1,5000
Simulated Annealing,25,8,0.20146393775939941,2,5000
Genetic Algorithm,25,8,3.6627302169799805,1,5000
Hill Climbing,26,8,0.18035411834716797,1,5000
Simulated Annealing,26,8,0.19604778289794922,2,5000
Genetic Algorithm,26,8,1.4163799285888672,0,1940
Hill Climbing,27,8,0.19456791877746582,2,5000
Simulated Annealing,27,8,0.19831562042236328,1,5000
Genetic Algorithm,27,8,0.2602396011352539,0,350
Hill Climbing,28,8,0.17987656593322754,1,5000
Simulated Annealing,28,8,0.19745087623596191,1,5000
Genetic Algorithm,28,8,0.8374035358428955,0,1150
Hill Climbing,29,8,0.1842648983001709,1,5000
Simulated Annealing,29,8,0.19135379791259766,2,5000
Genetic Algorithm,29,8,0.14903783798217773,0,206
Hill Climbing,30,8,0.1832132339477539,1,5000
Simulated Annealing,30,8,0.190659761428833,1,5000
Genetic Algorithm,30,8,0.15743780136108398,0,217
Hill Climbing,1,10,0.2501521110534668,3,5000
Simulated Annealing,1,10,0.2514381408691406,2,5000
Genetic Algorithm,1,10,2.0136187076568604,0,2302
Hill Climbing,2,10,0.2505183219909668,3,5000
Simulated Annealing,2,10,0.25329113006591797,2,5000
Genetic Algorithm,2,10,1.1780908107757568,0,1331
Hill Climbing,3,10,0.24585318565368652,2,5000
Simulated Annealing,3,10,0.25994110107421875,3,5000
Genetic Algorithm,3,10,4.4038245677948,1,5000
Hill Climbing,4,10,0.24608683586120605,3,5000
Simulated Annealing,4,10,0.2545030117034912,2,5000
Genetic Algorithm,4,10,4.375010013580322,1,5000
Hill Climbing,5,10,0.25025224685668945,3,5000
Simulated Annealing,5,10,0.253018856048584,3,5000
